"Time","الاستثمار"
"2013-06-01",26
"2013-07-01",20
"2013-08-01",17
"2013-09-01",24
"2013-10-01",27
"2013-11-01",31
"2013-12-01",37
"2014-01-01",24
"2014-02-01",30
"2014-03-01",31
"2014-04-01",30
"2014-05-01",25
"2014-06-01",24
"2014-07-01",23
"2014-08-01",41
"2014-09-01",64
"2014-10-01",28
"2014-11-01",32
"2014-12-01",31
"2015-01-01",28
"2015-02-01",31
"2015-03-01",60
"2015-04-01",38
"2015-05-01",28
"2015-06-01",27
"2015-07-01",25
"2015-08-01",27
"2015-09-01",25
"2015-10-01",35
"2015-11-01",76
"2015-12-01",46
"2016-01-01",33
"2016-02-01",39
"2016-03-01",70
"2016-04-01",42
"2016-05-01",32
"2016-06-01",31
"2016-07-01",28
"2016-08-01",33
"2016-09-01",25
"2016-10-01",41
"2016-11-01",100
"2016-12-01",61
"2017-01-01",34
"2017-02-01",35
"2017-03-01",53
"2017-04-01",43
"2017-05-01",46
"2017-06-01",39
"2017-07-01",37
"2017-08-01",44
"2017-09-01",39
"2017-10-01",50
"2017-11-01",49
"2017-12-01",44
"2018-01-01",38
"2018-02-01",58
"2018-03-01",57
"2018-04-01",52
"2018-05-01",51
"2018-06-01",43
"2018-07-01",46
"2018-08-01",42
"2018-09-01",48
"2018-10-01",50
"2018-11-01",46
"2018-12-01",44
"2019-01-01",40
"2019-02-01",43
"2019-03-01",46
"2019-04-01",41
"2019-05-01",39
"2019-06-01",39
"2019-07-01",43
"2019-08-01",44
"2019-09-01",48
"2019-10-01",45
"2019-11-01",52
"2019-12-01",47
"2020-01-01",42
"2020-02-01",45
"2020-03-01",43
"2020-04-01",36
"2020-05-01",73
"2020-06-01",60
"2020-07-01",47
"2020-08-01",48
"2020-09-01",50
"2020-10-01",43
"2020-11-01",43
"2020-12-01",47
"2021-01-01",46
"2021-02-01",50
"2021-03-01",46
"2021-04-01",43
"2021-05-01",42
"2021-06-01",49
"2021-07-01",43
"2021-08-01",46
"2021-09-01",42
"2021-10-01",41
"2021-11-01",42
"2021-12-01",39
"2022-01-01",42
"2022-02-01",44
"2022-03-01",73
"2022-04-01",53
"2022-05-01",49
"2022-06-01",46
"2022-07-01",43
"2022-08-01",49
"2022-09-01",47
"2022-10-01",54
"2022-11-01",48
"2022-12-01",54
"2023-01-01",60
"2023-02-01",45
"2023-03-01",51
"2023-04-01",52
"2023-05-01",56
"2023-06-01",43
"2023-07-01",44
"2023-08-01",52
"2023-09-01",49
"2023-10-01",45
"2023-11-01",48
"2023-12-01",51
"2024-01-01",57
"2024-02-01",56
"2024-03-01",49
"2024-04-01",42
"2024-05-01",47
"2024-06-01",42
"2024-07-01",50
"2024-08-01",50
"2024-09-01",52
"2024-10-01",50
"2024-11-01",48
"2024-12-01",47
"2025-01-01",48
"2025-02-01",46
"2025-03-01",42
"2025-04-01",49
"2025-05-01",50
"2025-06-01",40
"2025-07-01",48
"2025-08-01",50